accommodates,bathrooms,bedrooms,beds,host_total_listings_count,minimum_nights,number_of_reviews,price,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value
2.0,1.0,1.0,1.0,1.0,2.0,145.0,100.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,1.0,97.0,65.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
5.0,2.0,2.0,3.0,1.0,4.0,17.0,299.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,57.0,115.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,65.0,135.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,21.0,100.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,35.0,85.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,2.0,2.0,2.0,1.0,3.0,8.0,187.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
2.0,1.0,1.0,2.0,1.0,2.0,100.0,75.0,10.0,10.0,10.0,10.0,10.0,96.0,10.0
1.0,1.0,1.0,1.0,1.0,1.0,28.0,63.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
4.0,1.0,2.0,2.0,1.0,4.0,80.0,199.0,10.0,10.0,10.0,10.0,9.0,95.0,9.0
2.0,1.0,0.0,1.0,1.0,2.0,18.0,125.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
2.0,1.0,1.0,1.0,1.0,30.0,31.0,85.0,9.0,10.0,8.0,10.0,9.0,94.0,10.0
4.0,2.0,4.0,7.0,1.0,3.0,2.0,150.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
6.0,2.5,3.0,3.0,1.0,3.0,3.0,450.0,10.0,9.0,9.0,10.0,9.0,100.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,143.0,100.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
5.0,1.0,3.0,3.0,1.0,2.0,10.0,400.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,12.0,75.0,10.0,10.0,10.0,10.0,9.0,95.0,9.0
2.0,1.0,1.0,1.0,1.0,3.0,48.0,90.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
6.0,2.5,3.0,4.0,1.0,5.0,15.0,375.0,10.0,10.0,9.0,9.0,9.0,92.0,9.0
1.0,2.0,1.0,1.0,1.0,30.0,4.0,100.0,10.0,10.0,9.0,10.0,10.0,100.0,10.0
5.0,1.5,3.0,3.0,1.0,2.0,13.0,325.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
2.0,1.0,1.0,1.0,1.0,1.0,43.0,98.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
4.0,1.0,2.0,2.0,1.0,3.0,4.0,140.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
3.0,1.0,1.0,2.0,1.0,3.0,176.0,125.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
6.0,1.5,2.0,3.0,1.0,2.0,9.0,250.0,10.0,9.0,10.0,10.0,10.0,96.0,10.0
6.0,2.5,3.0,3.0,1.0,3.0,4.0,250.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
4.0,1.0,1.0,2.0,1.0,3.0,73.0,180.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
1.0,1.0,1.0,1.0,1.0,30.0,0.0,128.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
4.0,1.0,1.0,2.0,1.0,3.0,83.0,135.0,10.0,10.0,10.0,10.0,10.0,93.0,9.0
4.0,1.0,1.0,2.0,1.0,2.0,8.0,175.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,113.0,120.0,10.0,10.0,10.0,10.0,10.0,96.0,9.0
6.0,1.0,3.0,4.0,1.0,2.0,6.0,245.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,7.0,200.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,1.0,7.0,75.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,36.0,111.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,78.0,95.0,10.0,10.0,9.0,10.0,9.0,95.0,9.0
2.0,1.0,1.0,1.0,1.0,1.0,75.0,80.0,10.0,10.0,9.0,10.0,10.0,95.0,9.0
2.0,1.0,1.0,2.0,1.0,30.0,92.0,150.0,10.0,10.0,10.0,10.0,9.0,96.0,9.0
2.0,1.0,1.0,1.0,1.0,3.0,170.0,79.0,10.0,10.0,10.0,10.0,9.0,96.0,9.0
2.0,1.0,0.0,1.0,1.0,2.0,11.0,130.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,1.0,2.0,2.0,1.0,3.0,57.0,200.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
1.0,1.0,1.0,1.0,1.0,31.0,4.0,95.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
4.0,1.0,2.0,2.0,1.0,1.0,3.0,199.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,29.0,142.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
5.0,1.5,3.0,3.0,1.0,4.0,1.0,350.0,10.0,10.0,10.0,10.0,10.0,100.0,8.0
3.0,1.0,1.0,1.0,1.0,2.0,6.0,150.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,2.0,1.0,1.0,1.0,2.0,183.0,125.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,1.0,2.0,2.0,1.0,2.0,13.0,175.0,10.0,10.0,9.0,10.0,10.0,98.0,10.0
